Monstre;Boss;Coffre;portes[haut,droite,bas,gauche];x;y
true;true;false;false,false,false,false;0;0
false;false;false;false,false,false,false;0;1
false;false;false;false,false,false,false;0;2
false;false;false;false,false,false,false;0;3
false;false;false;false,false,false,false;1;0
false;false;false;false,false,false,false;1;1
false;false;false;false,false,false,false;1;2
false;false;false;false,false,false,false;1;3
false;false;false;false,false,false,false;2;0
false;false;false;false,false,false,false;2;1
false;false;false;false,false,false,false;2;2
false;false;false;false,false,false,false;2;3